abs_time,dt,enc0,enc1
1652821894.97472,10000.0,0.0,0.0
1652821894.984718,10000.0,0.0,0.0
1652821894.994676,10000.0,0.0,0.0
1652821895.004719,10006.0,0.0,0.0
1652821895.014718,9994.0,0.0,0.0
1652821895.024692,10000.0,0.0,0.0
1652821895.034721,10000.0,0.0,0.0
1652821895.044721,10000.0,0.0,0.0
1652821895.05472,10000.0,0.0,0.0
1652821895.064719,10000.0,0.0,0.0
1652821895.074722,10000.0,0.0,0.0
1652821895.084721,10000.0,0.0,0.0
1652821895.094722,10000.0,0.0,0.0
1652821895.10472,10006.0,0.0,0.0
1652821895.11472,9994.0,0.0,0.0
1652821895.124724,10000.0,0.0,0.0
1652821895.134723,10000.0,0.0,0.0
1652821895.144722,10000.0,0.0,0.0
1652821895.154721,10000.0,0.0,0.0
1652821895.164723,10000.0,0.0,0.0
1652821895.174725,10000.0,0.0,0.0
1652821895.184672,10000.0,0.0,0.0
1652821895.194724,10000.0,0.0,0.0
1652821895.204723,10006.0,0.0,0.0
1652821895.214722,9994.0,0.0,0.0
1652821895.224726,10000.0,0.0,0.0
1652821895.234725,10000.0,0.0,0.0
1652821895.244725,10000.0,0.0,0.0
1652821895.254725,10000.0,0.0,0.0
1652821895.264724,10000.0,0.0,0.0
1652821895.274726,10000.0,0.0,0.0
1652821895.284725,10000.0,0.0,0.0
1652821895.294731,10000.0,0.0,0.0
1652821895.304724,10006.0,0.0,0.0
1652821895.314726,9994.0,0.0,0.0
1652821895.32475,10000.0,0.0,0.0
1652821895.334726,10000.0,0.0,0.0
1652821895.344683,10000.0,0.0,0.0
1652821895.354725,10000.0,0.0,0.0
1652821895.364726,10000.0,0.0,0.0
1652821895.374728,10000.0,0.0,0.0
1652821895.384726,10000.0,0.0,0.0
1652821895.394726,10000.0,0.0,0.0
1652821895.404726,10006.0,0.0,0.0
1652821895.414726,9994.0,0.0,0.0
1652821895.424729,10000.0,0.0,0.0
1652821895.434728,10000.0,0.0,0.0
1652821895.44473,10000.0,0.0,0.0
1652821895.454727,10000.0,0.0,0.0
1652821895.464727,10000.0,0.0,0.0
1652821895.474731,10000.0,0.0,0.0
1652821895.48473,10000.0,0.0,0.0
1652821895.49473,10000.0,0.0,0.0
1652821895.504729,10006.0,0.0,0.0
1652821895.514729,9994.0,0.0,0.0
1652821895.524731,10000.0,0.0,0.0
1652821895.534731,10000.0,0.0,0.0
1652821895.544731,10000.0,0.0,0.0
1652821895.554729,10000.0,0.0,0.0
1652821895.56473,10000.0,0.0,0.0
1652821895.574687,10000.0,0.0,0.0
1652821895.58473,10000.0,0.0,0.0
1652821895.594732,10000.0,0.0,0.0
1652821895.60473,10006.0,0.0,0.0
1652821895.614732,9994.0,0.0,0.0
1652821895.624733,10000.0,0.0,0.0
1652821895.634734,10000.0,0.0,0.0
1652821895.644733,10000.0,0.0,0.0
1652821895.654731,10000.0,0.0,0.0
1652821895.664732,10000.0,0.0,0.0
1652821895.674733,10000.0,0.0,0.0
1652821895.684735,10000.0,0.0,0.0
1652821895.694733,10000.0,0.0,0.0
1652821895.704753,10006.0,0.0,0.0
1652821895.714733,9994.0,0.0,0.0
1652821895.724758,10000.0,0.0,0.0
1652821895.734734,10003.0,0.0,0.0
1652821895.744737,9997.0,0.0,0.0
1652821895.754733,10000.0,0.0,0.0
1652821895.764734,10000.0,0.0,0.0
1652821895.774736,10000.0,0.0,0.0
1652821895.784737,10000.0,0.0,0.0
1652821895.794738,10000.0,0.0,0.0
1652821895.804735,10011.0,0.0,0.0
1652821895.814734,9989.0,0.0,0.0
1652821895.824737,10000.0,0.0,0.0
1652821895.834738,10000.0,0.0,0.0
1652821895.844737,10000.0,0.0,0.0
1652821895.854736,10000.0,0.0,0.0
1652821895.864735,10000.0,0.0,0.0
1652821895.874739,10000.0,0.0,0.0
1652821895.884739,10000.0,0.0,0.0
1652821895.894739,10000.0,0.0,0.0
1652821895.904736,10006.0,0.0,0.0
1652821895.914736,9994.0,0.0,0.0
1652821895.924761,10000.0,0.0,0.0
1652821895.934738,10000.0,0.0,0.0
1652821895.944739,10000.0,0.0,0.0
1652821895.954737,10000.0,0.0,0.0
1652821895.964737,10000.0,0.0,0.0
1652821895.974687,10000.0,0.0,0.0
1652821895.984691,10000.0,0.0,0.0
1652821895.994687,10000.0,0.0,0.0
1652821896.004688,10006.0,0.0,0.0
1652821896.014687,9994.0,0.0,0.0
1652821896.024687,10000.0,0.0,0.0
1652821896.034692,10000.0,0.0,0.0
1652821896.044688,10000.0,0.0,0.0
1652821896.054688,10000.0,0.0,0.0
1652821896.064688,10000.0,0.0,0.0
1652821896.074688,10000.0,0.0,0.0
1652821896.084689,10000.0,0.0,0.0
1652821896.094689,10000.0,0.0,0.0
1652821896.104689,10006.0,0.0,0.0
1652821896.114689,9994.0,0.0,0.0
1652821896.124689,10000.0,0.0,0.0
1652821896.13469,10000.0,0.0,0.0
1652821896.14469,10000.0,0.0,0.0
1652821896.154709,10009.0,0.0,0.0
1652821896.164743,9991.0,0.0,0.0
1652821896.174744,10000.0,0.0,0.0
1652821896.184745,10000.0,0.0,0.0
1652821896.194744,10000.0,0.0,0.0
1652821896.204743,10006.0,0.0,0.0
1652821896.214743,9994.0,0.0,0.0
1652821896.224744,10000.0,0.0,0.0
1652821896.234701,10000.0,0.0,0.0
1652821896.244746,10000.0,0.0,0.0
1652821896.254744,10000.0,0.0,0.0
1652821896.264745,10000.0,0.0,0.0
1652821896.274747,10000.0,0.0,0.0
1652821896.284746,10000.0,0.0,0.0
1652821896.294746,10000.0,0.0,0.0
1652821896.304744,10006.0,0.0,0.0
1652821896.314745,9994.0,0.0,0.0
1652821896.324747,10000.0,1.0,0.0
1652821896.334747,10000.0,0.0,0.0
1652821896.344747,10000.0,0.0,1.0
1652821896.354745,10000.0,0.0,0.0
1652821896.364746,10000.0,1.0,0.0
1652821896.374748,10000.0,0.0,1.0
1652821896.38475,10000.0,0.0,0.0
1652821896.394748,10000.0,1.0,0.0
1652821896.404746,10006.0,0.0,1.0
1652821896.414747,9994.0,1.0,0.0
1652821896.424751,10000.0,0.0,1.0
1652821896.43475,10000.0,1.0,1.0
1652821896.444749,10000.0,1.0,1.0
1652821896.454749,10000.0,1.0,1.0
1652821896.464724,10000.0,1.0,1.0
1652821896.474749,10000.0,2.0,1.0
1652821896.484749,10000.0,1.0,1.0
1652821896.49475,10000.0,1.0,1.0
1652821896.504748,10006.0,1.0,2.0
1652821896.514749,9994.0,2.0,1.0
1652821896.52475,10000.0,1.0,2.0
1652821896.534752,10000.0,1.0,2.0
1652821896.54477,10002.0,2.0,2.0
1652821896.55475,9998.0,2.0,2.0
1652821896.56475,10000.0,3.0,2.0
1652821896.574751,10000.0,3.0,3.0
1652821896.584717,10000.0,4.0,3.0
1652821896.594753,10000.0,4.0,4.0
1652821896.60475,10006.0,4.0,4.0
1652821896.61475,9994.0,5.0,4.0
1652821896.624754,10000.0,5.0,5.0
1652821896.634753,10000.0,6.0,5.0
1652821896.644755,10000.0,6.0,6.0
1652821896.654752,10000.0,7.0,7.0
1652821896.664752,10000.0,7.0,8.0
1652821896.674755,10000.0,8.0,8.0
1652821896.684753,10000.0,8.0,9.0
1652821896.694731,10000.0,10.0,10.0
1652821896.704753,10006.0,10.0,10.0
1652821896.714753,9994.0,10.0,11.0
1652821896.724754,10000.0,12.0,12.0
1652821896.734755,10004.0,13.0,12.0
1652821896.744756,9996.0,13.0,12.0
1652821896.754754,10000.0,14.0,14.0
1652821896.764754,10000.0,15.0,14.0
1652821896.774756,10000.0,15.0,15.0
1652821896.784756,10000.0,15.0,16.0
1652821896.794758,10001.0,16.0,16.0
1652821896.804755,10010.0,16.0,18.0
1652821896.814755,9989.0,18.0,18.0
1652821896.824757,10000.0,18.0,19.0
1652821896.834757,10000.0,20.0,19.0
1652821896.844757,10000.0,21.0,21.0
1652821896.854756,10000.0,21.0,21.0
1652821896.864757,10000.0,22.0,23.0
1652821896.874757,10000.0,23.0,23.0
1652821896.884758,10000.0,24.0,24.0
1652821896.894758,10001.0,24.0,25.0
1652821896.904758,10008.0,26.0,26.0
1652821896.914758,9991.0,27.0,26.0
1652821896.924759,10000.0,27.0,29.0
1652821896.934759,10000.0,29.0,28.0
1652821896.944759,10001.0,29.0,29.0
1652821896.954758,9999.0,31.0,30.0
1652821896.964759,10000.0,31.0,32.0
1652821896.974759,10000.0,33.0,32.0
1652821896.984758,10000.0,32.0,33.0
1652821896.99476,10000.0,35.0,34.0
1652821897.004759,10006.0,34.0,36.0
1652821897.01476,9994.0,35.0,37.0
1652821897.024762,10004.0,38.0,37.0
1652821897.034761,9996.0,39.0,38.0
1652821897.044761,10000.0,38.0,40.0
1652821897.054759,10000.0,40.0,40.0
1652821897.06476,10007.0,43.0,42.0
1652821897.074762,9993.0,41.0,42.0
1652821897.084762,10000.0,43.0,44.0
1652821897.094763,10000.0,44.0,45.0
1652821897.104717,10009.0,44.0,46.0
1652821897.114762,9991.0,48.0,45.0
1652821897.124763,10004.0,48.0,46.0
1652821897.134764,9996.0,48.0,49.0
1652821897.144764,10000.0,50.0,50.0
1652821897.154761,10000.0,50.0,52.0
1652821897.164761,10000.0,52.0,53.0
1652821897.174764,10000.0,52.0,54.0
1652821897.184764,10003.0,54.0,56.0
1652821897.194765,9997.0,55.0,56.0
1652821897.204763,10008.0,56.0,58.0
1652821897.214764,9992.0,56.0,58.0
1652821897.224765,10001.0,62.0,60.0
1652821897.234766,9999.0,61.0,60.0
1652821897.244765,10000.0,59.0,61.0
1652821897.254765,10001.0,62.0,63.0
1652821897.264764,9999.0,65.0,64.0
1652821897.274765,10000.0,63.0,66.0
1652821897.284767,10003.0,71.0,67.0
1652821897.294767,9998.0,67.0,68.0
1652821897.304764,10008.0,70.0,68.0
1652821897.314765,9995.0,69.0,70.0
1652821897.324768,9999.0,72.0,70.0
1652821897.334721,9997.0,72.0,72.0
1652821897.344768,10004.0,74.0,74.0
1652821897.354768,9998.0,75.0,74.0
1652821897.364766,9998.0,76.0,76.0
1652821897.374791,10003.0,78.0,76.0
1652821897.384641,9998.0,73.0,79.0
1652821897.39477,10001.0,81.0,80.0
1652821897.404767,10006.0,81.0,81.0
1652821897.414767,9992.0,81.0,84.0
1652821897.424769,10003.0,84.0,84.0
1652821897.434644,10001.0,84.0,85.0
1652821897.44477,10000.0,87.0,86.0
1652821897.454768,9998.0,86.0,87.0
1652821897.464644,9999.0,89.0,89.0
1652821897.474645,10000.0,91.0,90.0
1652821897.48477,10001.0,91.0,90.0
1652821897.494646,10004.0,93.0,90.0
1652821897.504769,10004.0,95.0,90.0
