abs_time,dt,enc0,enc1
1652893237.636288,9997.0,-1.0,-1.0
1652893237.646269,10000.0,0.0,0.0
1652893237.656287,10000.0,-1.0,0.0
1652893237.666263,10000.0,0.0,0.0
1652893237.676288,10000.0,-1.0,-1.0
1652893237.686277,10000.0,0.0,0.0
1652893237.696284,10000.0,-1.0,-1.0
1652893237.706277,10000.0,0.0,0.0
1652893237.716275,10000.0,-1.0,0.0
1652893237.726247,10003.0,-1.0,0.0
1652893237.736252,9997.0,0.0,-1.0
1652893237.746264,10000.0,-1.0,0.0
1652893237.756252,10000.0,0.0,0.0
1652893237.766253,10000.0,-1.0,-1.0
1652893237.776258,10000.0,0.0,0.0
1652893237.786257,10000.0,-1.0,0.0
1652893237.796252,10000.0,-1.0,0.0
1652893237.806246,10000.0,0.0,-1.0
1652893237.816249,10000.0,-1.0,0.0
1652893237.826257,10003.0,0.0,0.0
1652893237.836263,9997.0,0.0,0.0
1652893237.846258,10000.0,0.0,0.0
1652893237.856248,10000.0,0.0,0.0
1652893237.866297,10000.0,-1.0,0.0
1652893237.876247,10000.0,0.0,-1.0
1652893237.886261,10000.0,0.0,0.0
1652893237.896262,10000.0,-1.0,0.0
1652893237.90629,10000.0,0.0,0.0
1652893237.916276,10000.0,-1.0,-1.0
1652893237.926284,10003.0,-1.0,0.0
1652893237.93629,9997.0,0.0,0.0
1652893237.946284,10000.0,-1.0,-1.0
1652893237.956276,10000.0,-1.0,0.0
1652893237.966272,10000.0,0.0,-1.0
1652893237.976258,10000.0,-1.0,0.0
1652893237.986263,10000.0,0.0,-1.0
1652893237.996277,10000.0,0.0,0.0
1652893238.006289,10000.0,-1.0,-1.0
1652893238.016246,10000.0,0.0,0.0
1652893238.026258,10003.0,0.0,0.0
1652893238.036259,9997.0,-1.0,-1.0
1652893238.046252,10000.0,0.0,0.0
1652893238.056264,10000.0,-1.0,-1.0
1652893238.066252,10000.0,0.0,0.0
1652893238.076258,10000.0,0.0,0.0
1652893238.086258,10000.0,-1.0,-1.0
1652893238.096236,10000.0,0.0,0.0
1652893238.106269,10000.0,0.0,0.0
1652893238.116265,10000.0,-1.0,-1.0
1652893238.126283,10003.0,0.0,0.0
1652893238.136258,9997.0,0.0,0.0
1652893238.146274,10000.0,-1.0,0.0
1652893238.156272,10000.0,0.0,-1.0
1652893238.166278,10000.0,0.0,0.0
1652893238.17628,10000.0,-1.0,0.0
1652893238.186283,10000.0,0.0,0.0
1652893238.196283,10000.0,0.0,0.0
1652893238.206277,10000.0,0.0,-1.0
1652893238.216279,10000.0,-1.0,0.0
1652893238.22627,10003.0,0.0,0.0
1652893238.23628,9997.0,0.0,-1.0
1652893238.24628,10000.0,0.0,0.0
1652893238.256248,10000.0,-1.0,0.0
1652893238.26627,10000.0,0.0,0.0
1652893238.276264,10000.0,0.0,-1.0
1652893238.286264,10000.0,-1.0,0.0
1652893238.296258,10000.0,0.0,0.0
1652893238.306254,10000.0,0.0,0.0
1652893238.316253,10000.0,0.0,-1.0
1652893238.326247,10003.0,-1.0,0.0
1652893238.336246,9997.0,0.0,0.0
1652893238.346258,10000.0,0.0,0.0
1652893238.356258,10000.0,0.0,0.0
1652893238.366258,10000.0,0.0,-1.0
1652893238.376271,10000.0,-1.0,0.0
1652893238.386277,10000.0,0.0,0.0
1652893238.396268,10000.0,0.0,-1.0
1652893238.406282,10000.0,0.0,0.0
1652893238.416284,10000.0,0.0,0.0
1652893238.426279,10003.0,-1.0,0.0
1652893238.436264,9997.0,0.0,0.0
1652893238.446246,10000.0,0.0,-1.0
1652893238.456256,10000.0,0.0,0.0
1652893238.466259,10000.0,-1.0,0.0
1652893238.476252,10000.0,0.0,0.0
1652893238.486252,10000.0,0.0,-1.0
1652893238.496272,10000.0,-1.0,0.0
1652893238.506282,10000.0,0.0,0.0
1652893238.516284,10000.0,0.0,0.0
1652893238.526275,10009.0,0.0,-1.0
1652893238.536283,9991.0,0.0,0.0
1652893238.546275,10000.0,-1.0,0.0
1652893238.55627,10000.0,0.0,0.0
1652893238.566278,10000.0,0.0,-1.0
1652893238.576263,10000.0,0.0,0.0
1652893238.586245,10000.0,0.0,0.0
1652893238.596258,10000.0,-1.0,0.0
1652893238.606255,10000.0,0.0,0.0
1652893238.616258,10000.0,0.0,-1.0
