abs_time,dt,enc0,enc1
1652893154.627014,10000.0,0.0,0.0
1652893154.637032,10000.0,0.0,0.0
1652893154.647014,10000.0,-1.0,-1.0
1652893154.657043,10000.0,0.0,0.0
1652893154.667032,10003.0,0.0,0.0
1652893154.677011,9997.0,-1.0,-1.0
1652893154.687019,10000.0,0.0,0.0
1652893154.697029,10000.0,0.0,0.0
1652893154.707042,10000.0,-1.0,-1.0
1652893154.717003,10000.0,0.0,0.0
1652893154.727005,10000.0,0.0,0.0
1652893154.737014,10000.0,-1.0,0.0
1652893154.747019,10000.0,0.0,-1.0
1652893154.757033,10000.0,0.0,0.0
1652893154.767013,10003.0,0.0,-1.0
1652893154.777008,9997.0,-1.0,0.0
1652893154.787003,10000.0,0.0,0.0
1652893154.797022,10000.0,0.0,0.0
1652893154.807017,10000.0,-1.0,-1.0
1652893154.817027,10000.0,0.0,0.0
1652893154.827002,10000.0,-1.0,0.0
1652893154.837002,10000.0,0.0,-1.0
1652893154.847008,10000.0,0.0,0.0
1652893154.85699,10000.0,-1.0,0.0
1652893154.866999,10009.0,0.0,-1.0
1652893154.877014,9991.0,0.0,0.0
1652893154.88701,10000.0,0.0,0.0
1652893154.897014,10000.0,-1.0,-1.0
1652893154.907033,10000.0,0.0,0.0
1652893154.917003,10000.0,0.0,0.0
1652893154.926997,10000.0,-1.0,0.0
1652893154.937007,10000.0,0.0,-1.0
1652893154.947007,10000.0,0.0,0.0
1652893154.957002,10000.0,-1.0,0.0
1652893154.967014,10003.0,0.0,0.0
1652893154.977016,9997.0,0.0,-1.0
1652893154.986999,10000.0,0.0,0.0
1652893154.996994,10000.0,-1.0,0.0
1652893155.007001,10000.0,0.0,0.0
1652893155.017039,10000.0,0.0,-1.0
1652893155.027004,10000.0,0.0,0.0
1652893155.036997,10000.0,0.0,0.0
1652893155.04701,10000.0,-1.0,-1.0
1652893155.057001,10000.0,0.0,0.0
1652893155.066995,10003.0,0.0,0.0
1652893155.077011,9997.0,0.0,0.0
1652893155.087021,10000.0,-1.0,0.0
1652893155.096997,10000.0,0.0,-1.0
1652893155.107008,10000.0,0.0,0.0
1652893155.117004,10000.0,0.0,0.0
1652893155.127032,10000.0,-1.0,0.0
1652893155.137016,10000.0,0.0,0.0
1652893155.146998,10000.0,0.0,0.0
1652893155.157032,10000.0,0.0,-1.0
1652893155.167027,10003.0,0.0,0.0
1652893155.177012,9997.0,0.0,0.0
1652893155.187016,10000.0,-1.0,0.0
1652893155.197075,10000.0,0.0,0.0
1652893155.207042,10000.0,0.0,0.0
1652893155.217008,10000.0,0.0,0.0
1652893155.227002,10000.0,0.0,-1.0
1652893155.237,10000.0,0.0,0.0
1652893155.246995,10000.0,0.0,0.0
1652893155.257035,10000.0,-1.0,0.0
1652893155.267008,10003.0,0.0,-1.0
1652893155.276999,9997.0,0.0,0.0
1652893155.286997,10000.0,0.0,0.0
1652893155.297008,10000.0,0.0,0.0
1652893155.307032,10000.0,0.0,0.0
1652893155.317006,10000.0,-1.0,0.0
1652893155.327005,10000.0,0.0,-1.0
1652893155.336992,10000.0,0.0,0.0
1652893155.346998,10000.0,-1.0,0.0
1652893155.357028,10000.0,0.0,0.0
1652893155.36704,10003.0,0.0,0.0
1652893155.376999,9997.0,0.0,-1.0
1652893155.386999,10000.0,0.0,0.0
1652893155.397019,10000.0,-1.0,0.0
1652893155.40704,10000.0,0.0,0.0
1652893155.417017,10000.0,0.0,0.0
1652893155.426999,10000.0,0.0,-1.0
1652893155.437008,10000.0,0.0,0.0
1652893155.447001,10000.0,-1.0,0.0
1652893155.457033,10000.0,0.0,-1.0
1652893155.467024,10003.0,0.0,0.0
1652893155.476994,9997.0,0.0,0.0
1652893155.487018,10000.0,-1.0,0.0
1652893155.497008,10000.0,0.0,0.0
1652893155.506992,10000.0,0.0,-1.0
1652893155.516994,10000.0,-1.0,0.0
1652893155.527014,10000.0,0.0,0.0
1652893155.537008,10000.0,0.0,0.0
1652893155.547003,10000.0,0.0,-1.0
1652893155.556991,10000.0,-1.0,0.0
1652893155.567016,10003.0,0.0,0.0
1652893155.577004,9997.0,0.0,0.0
1652893155.587009,10000.0,0.0,-1.0
1652893155.59701,10000.0,0.0,0.0
1652893155.606992,10000.0,-1.0,0.0
1652893155.616987,10000.0,0.0,-1.0
1652893155.627036,10000.0,0.0,0.0
1652893155.637033,10000.0,0.0,0.0
1652893155.647032,10000.0,-1.0,0.0
1652893155.657024,10000.0,0.0,-1.0
1652893155.667037,10003.0,0.0,0.0
1652893155.677017,9997.0,-1.0,0.0
1652893155.687027,10000.0,0.0,0.0
1652893155.697023,10000.0,0.0,0.0
1652893155.707017,10000.0,0.0,-1.0
1652893155.717036,10000.0,-1.0,0.0
1652893155.727025,10000.0,0.0,0.0
1652893155.737027,10000.0,0.0,-1.0
1652893155.747139,10000.0,-1.0,0.0
1652893155.757043,10000.0,0.0,0.0
1652893155.767034,10003.0,0.0,-1.0
1652893155.777029,9997.0,0.0,0.0
1652893155.78702,10000.0,-1.0,0.0
1652893155.797012,10000.0,0.0,0.0
1652893155.806992,10000.0,0.0,-1.0
1652893155.816995,10000.0,-1.0,0.0
1652893155.827007,10000.0,0.0,0.0
1652893155.837007,10000.0,0.0,-1.0
1652893155.847052,10000.0,-1.0,0.0
1652893155.857018,10000.0,0.0,0.0
1652893155.867004,10009.0,0.0,0.0
1652893155.877006,9991.0,0.0,-1.0
1652893155.887014,10000.0,-1.0,0.0
1652893155.897008,10000.0,0.0,-1.0
1652893155.907018,10000.0,0.0,0.0
1652893155.916999,10000.0,-1.0,0.0
1652893155.927009,10000.0,0.0,0.0
1652893155.936987,10000.0,0.0,-1.0
1652893155.946993,10000.0,-1.0,0.0
1652893155.95702,10000.0,0.0,0.0
1652893155.967006,10003.0,0.0,0.0
1652893155.976991,9997.0,0.0,-1.0
1652893155.98701,10000.0,-1.0,0.0
1652893155.997028,10000.0,0.0,0.0
1652893156.00699,10000.0,0.0,0.0
1652893156.01704,10000.0,0.0,-1.0
1652893156.027008,10000.0,-1.0,0.0
1652893156.037,10000.0,0.0,0.0
1652893156.047001,10000.0,0.0,-1.0
1652893156.057007,10000.0,0.0,0.0
1652893156.066999,10003.0,-1.0,0.0
1652893156.076998,9997.0,0.0,0.0
1652893156.087004,10000.0,0.0,-1.0
1652893156.096997,10000.0,-1.0,0.0
1652893156.107002,10000.0,0.0,0.0
1652893156.117013,10000.0,0.0,0.0
1652893156.127032,10000.0,0.0,0.0
1652893156.136993,10000.0,0.0,-1.0
1652893156.146986,10000.0,-1.0,0.0
1652893156.157034,10000.0,0.0,0.0
1652893156.167031,10003.0,0.0,0.0
1652893156.177007,9997.0,0.0,0.0
1652893156.187018,10000.0,0.0,-1.0
1652893156.197027,10000.0,-1.0,0.0
