abs_time,dt,enc0,enc1
1652893052.9187,10132.0,30.0,31.0
1652893052.928591,9944.0,31.0,31.0
1652893052.938597,10000.0,30.0,31.0
1652893052.948595,10000.0,30.0,31.0
1652893052.958549,10000.0,32.0,32.0
1652893052.968571,10000.0,30.0,32.0
1652893052.978601,10000.0,31.0,31.0
1652893052.98861,10000.0,31.0,33.0
1652893052.998606,10003.0,30.0,33.0
1652893053.008556,9997.0,31.0,31.0
1652893053.018607,10000.0,33.0,31.0
1652893053.028607,10003.0,31.0,31.0
1652893053.038622,9997.0,32.0,33.0
1652893053.048553,10000.0,33.0,33.0
1652893053.05857,10006.0,34.0,33.0
1652893053.068762,9994.0,31.0,33.0
1652893053.078586,10000.0,34.0,33.0
1652893053.08862,10000.0,34.0,33.0
1652893053.098606,10007.0,33.0,34.0
1652893053.108545,9993.0,33.0,33.0
1652893053.118563,10000.0,34.0,34.0
1652893053.128561,10000.0,34.0,34.0
1652893053.138559,10000.0,35.0,34.0
1652893053.148564,10000.0,33.0,34.0
1652893053.158594,10000.0,36.0,35.0
1652893053.168557,10000.0,32.0,34.0
1652893053.178555,10000.0,38.0,34.0
1652893053.188545,10000.0,33.0,35.0
1652893053.198562,10003.0,36.0,35.0
1652893053.208557,9997.0,35.0,36.0
1652893053.21856,10001.0,36.0,35.0
1652893053.228596,10001.0,35.0,36.0
1652893053.238553,9998.0,35.0,35.0
1652893053.248561,10000.0,36.0,36.0
1652893053.258545,10003.0,36.0,36.0
1652893053.268555,9997.0,35.0,36.0
1652893053.278552,10000.0,37.0,37.0
1652893053.288555,10001.0,37.0,36.0
1652893053.298558,10004.0,34.0,37.0
1652893053.308559,9995.0,37.0,36.0
1652893053.318577,10001.0,38.0,38.0
1652893053.328561,9999.0,36.0,36.0
1652893053.338551,10000.0,36.0,38.0
1652893053.348549,10000.0,37.0,37.0
1652893053.358562,10003.0,36.0,37.0
1652893053.368597,9997.0,35.0,38.0
1652893053.378597,10002.0,38.0,38.0
1652893053.388549,9998.0,38.0,38.0
1652893053.398602,10003.0,39.0,37.0
1652893053.408594,10001.0,38.0,40.0
1652893053.418597,9996.0,40.0,38.0
1652893053.428586,10000.0,39.0,38.0
1652893053.43856,10000.0,40.0,37.0
1652893053.448559,10000.0,42.0,38.0
1652893053.458583,10000.0,40.0,40.0
1652893053.468638,10003.0,41.0,39.0
1652893053.478603,9998.0,39.0,41.0
1652893053.488621,9999.0,41.0,40.0
1652893053.49859,10003.0,41.0,39.0
1652893053.508556,9997.0,39.0,41.0
1652893053.518562,10000.0,41.0,40.0
1652893053.528566,10000.0,42.0,41.0
1652893053.538589,10000.0,39.0,40.0
1652893053.548562,10000.0,40.0,41.0
1652893053.558597,10000.0,42.0,41.0
1652893053.568598,10000.0,41.0,40.0
1652893053.578563,10000.0,40.0,42.0
1652893053.588556,10000.0,42.0,42.0
1652893053.598563,10003.0,42.0,41.0
1652893053.608606,9997.0,41.0,42.0
1652893053.618565,10000.0,43.0,42.0
1652893053.628598,10003.0,43.0,41.0
1652893053.638609,9997.0,42.0,43.0
1652893053.648598,10004.0,43.0,42.0
1652893053.658562,10002.0,43.0,42.0
1652893053.668547,9997.0,42.0,42.0
1652893053.678588,9997.0,43.0,44.0
1652893053.688571,10000.0,43.0,43.0
1652893053.698553,10006.0,42.0,42.0
1652893053.708592,9994.0,43.0,44.0
1652893053.7186,10002.0,44.0,44.0
1652893053.728599,10001.0,43.0,43.0
1652893053.738583,10000.0,43.0,44.0
1652893053.748597,9997.0,44.0,44.0
1652893053.758602,10000.0,43.0,45.0
1652893053.768553,10000.0,44.0,45.0
1652893053.778596,10000.0,45.0,45.0
1652893053.788623,10000.0,44.0,44.0
1652893053.798602,10003.0,43.0,45.0
1652893053.80859,10000.0,46.0,46.0
1652893053.818589,9997.0,45.0,44.0
1652893053.82859,10003.0,44.0,46.0
1652893053.838566,10000.0,45.0,46.0
1652893053.848594,9997.0,45.0,45.0
1652893053.858554,10002.0,44.0,47.0
1652893053.868561,10000.0,47.0,47.0
1652893053.878558,9998.0,46.0,47.0
1652893053.888561,10000.0,46.0,47.0
1652893053.898568,10003.0,48.0,47.0
1652893053.908562,9998.0,45.0,47.0
1652893053.918566,10003.0,46.0,49.0
1652893053.928565,10000.0,47.0,47.0
1652893053.938552,9996.0,45.0,48.0
1652893053.948569,10000.0,45.0,48.0
1652893053.958556,10000.0,47.0,47.0
1652893053.968599,10000.0,45.0,49.0
1652893053.978555,10000.0,48.0,49.0
1652893053.988558,10000.0,41.0,48.0
1652893053.998562,10003.0,45.0,49.0
1652893054.008598,10001.0,52.0,49.0
1652893054.018596,9996.0,45.0,48.0
1652893054.028597,10001.0,51.0,50.0
1652893054.038567,9999.0,48.0,47.0
1652893054.048566,10000.0,49.0,47.0
1652893054.058549,10000.0,49.0,49.0
1652893054.068564,10000.0,49.0,49.0
1652893054.078589,10000.0,50.0,50.0
1652893054.088562,10000.0,48.0,50.0
1652893054.098556,10003.0,49.0,50.0
1652893054.10859,9997.0,48.0,50.0
1652893054.118594,10000.0,48.0,50.0
1652893054.128554,10003.0,49.0,51.0
1652893054.138617,10001.0,48.0,51.0
1652893054.148599,9996.0,50.0,49.0
1652893054.158601,10000.0,52.0,52.0
1652893054.168592,10000.0,49.0,51.0
1652893054.178593,10000.0,51.0,52.0
1652893054.188548,10000.0,50.0,51.0
1652893054.198578,10002.0,52.0,51.0
1652893054.208548,10002.0,52.0,53.0
1652893054.218593,9996.0,52.0,52.0
1652893054.228564,10000.0,53.0,51.0
1652893054.238619,10000.0,50.0,52.0
1652893054.248604,10002.0,53.0,53.0
1652893054.25855,9998.0,55.0,53.0
1652893054.268591,10000.0,48.0,52.0
1652893054.278589,10007.0,54.0,52.0
1652893054.288588,9993.0,51.0,53.0
1652893054.298602,10003.0,56.0,53.0
1652893054.308564,9997.0,53.0,54.0
1652893054.318557,10000.0,51.0,53.0
1652893054.328565,10000.0,55.0,53.0
1652893054.338543,10001.0,57.0,55.0
1652893054.34855,9999.0,55.0,54.0
1652893054.358562,10000.0,56.0,55.0
1652893054.36855,10000.0,55.0,55.0
1652893054.378557,10007.0,57.0,55.0
1652893054.388557,9993.0,53.0,54.0
1652893054.398603,10008.0,58.0,56.0
1652893054.408571,9998.0,55.0,56.0
1652893054.418602,9994.0,55.0,55.0
1652893054.428599,10000.0,56.0,55.0
1652893054.43858,10000.0,54.0,55.0
1652893054.448598,10000.0,58.0,55.0
1652893054.458557,10003.0,55.0,56.0
1652893054.468558,9997.0,55.0,56.0
1652893054.478661,10000.0,56.0,57.0
1652893054.488564,10000.0,54.0,56.0
1652893054.49855,10003.0,55.0,56.0
1652893054.508539,10001.0,54.0,57.0
1652893054.518764,9996.0,57.0,56.0
1652893054.528556,10000.0,57.0,57.0
1652893054.538556,10000.0,57.0,56.0
1652893054.548544,10000.0,59.0,54.0
1652893054.558606,10002.0,58.0,58.0
1652893054.568659,9998.0,59.0,56.0
1652893054.57855,10000.0,57.0,59.0
1652893054.588557,10000.0,59.0,58.0
1652893054.5986,10010.0,59.0,59.0
1652893054.608587,9990.0,57.0,58.0
1652893054.618632,10000.0,59.0,58.0
1652893054.628595,10000.0,56.0,60.0
1652893054.638551,10001.0,60.0,58.0
1652893054.648595,9999.0,58.0,60.0
1652893054.658585,10003.0,59.0,59.0
1652893054.668593,10001.0,59.0,61.0
1652893054.67855,9996.0,60.0,59.0
1652893054.688567,10000.0,60.0,60.0
1652893054.698563,10009.0,59.0,60.0
1652893054.708559,9998.0,60.0,61.0
1652893054.718562,9993.0,57.0,60.0
1652893054.728549,10000.0,61.0,60.0
1652893054.738562,10004.0,58.0,62.0
1652893054.748559,10001.0,61.0,59.0
1652893054.758546,9998.0,59.0,61.0
1652893054.768561,10002.0,62.0,62.0
1652893054.778585,9995.0,60.0,62.0
1652893054.788593,10000.0,60.0,61.0
1652893054.79859,10003.0,62.0,62.0
1652893054.80858,9997.0,60.0,62.0
1652893054.818592,10002.0,62.0,63.0
1652893054.828539,9998.0,60.0,61.0
1652893054.838549,10000.0,62.0,62.0
1652893054.848563,10003.0,61.0,63.0
1652893054.858556,9997.0,61.0,62.0
1652893054.868609,10004.0,62.0,64.0
1652893054.878589,9996.0,61.0,61.0
1652893054.888561,10000.0,61.0,63.0
1652893054.898562,10003.0,63.0,63.0
1652893054.908551,9997.0,58.0,64.0
1652893054.918556,10000.0,69.0,64.0
1652893054.92855,10005.0,56.0,65.0
1652893054.93854,9995.0,63.0,64.0
1652893054.948556,10001.0,64.0,65.0
1652893054.958591,10002.0,64.0,65.0
1652893054.968591,9997.0,60.0,65.0
1652893054.9786,10003.0,69.0,63.0
1652893054.98861,9997.0,62.0,62.0
1652893054.998559,10003.0,67.0,65.0
